ID,Feature / Task,Phase,Category,Priority (P0-P3),Complexity (S/M/L),Est Hours,User Story / Description,Why It Matters (Sports Science / UX),Competitors Who Do This,Dreamy Differentiation Angle,Diff Score (1-10),Dependencies,Status,Strava API Needed,Notes
D-023,Link planned races to race results,2,Race Lifecycle,P0,M,4,races and raceResults tables are completely separate — no lifecycle,The plan→train→race→analyze loop is THE core user journey,"TrainingPeaks, Garmin, COROS all have race lifecycle",AI coach can reference entire race history for context,5,,TODO,No,"Add FK, auto-match by distance+date"
D-024,Race history timeline — visual hero view,2,Race Lifecycle,P0,M,4,Race results buried in collapsible section instead of being the centerpiece,Race history is a runner's 'career page' — should feel proud and prominent,"Runalyze, Strava PR page, SmashRun badges",Beautiful timeline with VDOT overlay,6,,TODO,No,
D-025,PR tracking by standard distance (5K/10K/HM/M),2,Race Lifecycle,P1,M,3,No unified PR tracking or progression visualization,PRs are the most emotionally significant data points for runners,"Strava, Garmin, Runalyze all track PRs",PR + VDOT correlation over time,5,,TODO,Yes — best_efforts,
D-026,Race calendar view with countdown + training phases,2,Race Lifecycle,P1,M,4,"No unified view showing upcoming races, past results, and training blocks",Visualizing the training cycle creates accountability and excitement,"TrainingPeaks ATP view, Intervals.icu season planner",AI-enhanced race prep integration,5,,TODO,No,
D-027,Training plan ↔ race wiring — generate plan from race page,2,Race Lifecycle,P1,L,6,"Schema exists but no UI for plan generation, viewing, or adherence tracking",Plan adherence is the #1 predictor of race success,"Runna, TrainingPeaks, V.O2, TrainAsONE",AI generates AND adapts the plan,7,D-023,TODO,No,
D-028,Bulk edit / retroactive race linking,2,Race Lifecycle,P2,M,3,No way to clean up historical data by linking old results to workouts,Data quality compounds — clean history enables better predictions,TrainingPeaks bulk edit,One-time cleanup improves all analytics,3,D-023,TODO,No,
D-029,Post-run check-in flow — standard questions after sync,2,Post-Run Intelligence,P0,L,8,"After a run syncs, coach should proactively ask: How did it feel? Analyze with full context. Suggest follow-up.",The post-run moment is when runners are most engaged and receptive to coaching,Runna has post-run AI insights; Garmin has morning report,NOBODY does contextual post-run coaching with full data awareness — this is Dreamy's killer feature,10,,TODO,No,
D-030,'Why did today feel hard?' auto-analysis engine,2,Post-Run Intelligence,P0,L,6,"Cross-reference sleep, weather, TSB, previous load, time of day, pace vs history, shoes",Understanding WHY a run felt hard is the most common coaching question,WHOOP Journal correlates variables; nobody does this for individual runs,Multi-factor explanation with ranked contributing factors — unique in the market,9,D-030,TODO,No,
D-031,Explain workout difficulty — coach tool,2,Post-Run Intelligence,P1,M,3,Coach tool that analyzes all factors contributing to perceived effort,Makes AI coaching responses data-driven rather than generic,No tool has this as a structured analysis,Unique coaching intelligence,8,D-031,TODO,No,
D-032,Adaptive plan — weekly re-evaluation + diff view,2,Adaptive Planning,P1,L,8,Plan generated once and never changes. Should re-evaluate weekly based on execution and fatigue.,Static plans fail when life happens — adaptation is the core promise of AI coaching,"TrainAsONE, 2PEAK, TrainerRoad Adaptive Training, Athletica.ai",Show the user WHAT changed and WHY (transparency > black box),9,D-027,TODO,No,
D-033,"Coach action approval workflow — show diff, confirm/reject",2,Adaptive Planning,P1,M,4,"When coach suggests changes, user should see what's changing and approve",Agency over your training plan builds trust and engagement,TrainingPeaks coach prescription workflow,"AI suggests, human approves — best of both worlds",7,D-033,TODO,No,
D-034,Progressive context collection — profile completion %,2,Profile,P1,S,3,"Smart prompts for missing information, adaptive context requests",Better context = better coaching = better outcomes,No competitor does progressive profiling well,Makes the AI smarter over time,6,,TODO,No,IN_PROGRESS
D-035,Import cadence data from Strava,2,Strava Integration,P2,S,2,average_cadence available but not requested — needed for form analysis,"Cadence + pace → stride length, a key biomechanics metric","Garmin, Runalyze, Intervals.icu all show cadence",Foundation for running economy tracking,4,,TODO,Yes — streams,
D-036,Import gear_id from Strava activities,2,Strava Integration,P2,S,2,Every activity has gear_id linking to shoes — not currently extracted,Foundation for entire shoe intelligence feature set in Phase 3,"Strava, Runalyze, SportTracks track gear",Unlocks shoe efficiency analysis,5,,TODO,Yes — activity detail,
D-037,Import best_efforts from Strava,2,Strava Integration,P2,M,3,Verified PRs (400m→marathon) with pauses excluded — gold for VDOT,Best efforts are the highest-quality input for fitness estimation,Strava shows these natively,High-confidence VDOT signals,6,,TODO,Yes — activity detail,
D-038,Import activity zones from Strava,2,Strava Integration,P2,S,2,GET /activities/{id}/zones gives HR zone breakdown for free,Validate our zone calculations or use Strava's as baseline,Strava subscriber feature,Zone accuracy,3,,TODO,Yes — zones endpoint,
D-039,Implement Strava webhook for real-time sync,2,Strava Integration,P0,M,4,Real-time activity notification instead of manual polling. Critical for rate limits.,Polling doesn't scale; webhook is required for production-grade Strava integration,All serious Strava integrations use webhooks,Instant post-run coaching trigger,5,,TODO,Yes — webhook API,
D-040,Import Strava athlete stats (YTD/all-time),2,Strava Integration,P2,S,2,"Free data: YTD totals, all-time totals, biggest efforts",Quick wins for profile richness without extra API calls,Strava shows this on athlete profile,Richer user context for coaching,3,,TODO,Yes — athlete stats,
D-041,Import Strava athlete zones (HR + power),2,Strava Integration,P2,S,1,Respect user's pre-configured zones from Strava,Users who've set custom zones in Strava expect them to be honored,TrainingPeaks respects Strava zones,User preference respect,2,,TODO,Yes — athlete zones,
D-042,Complete lap sync for remaining 392 workouts,2,Strava Integration,P2,S,1,Rate limited at last attempt — just needs retry,Complete data = better analytics,N/A,,1,,TODO,Yes — laps endpoint,Just needs rate limit reset
D-043,Test and fix production OAuth callback,2,Strava Integration,P2,S,1,Middleware fix applied but untested in production,"OAuth is the front door — if it's broken, nobody gets in",N/A,,3,,TODO,Yes,
D-044,Manual run entry UX — sliders + smart defaults,2,UX,P2,M,3,"Replace input fields with sliders, defaults from recent workouts",Frictionless manual entry for treadmill runs and GPS-free workouts,Nike Run Club has clean manual entry,Mobile-optimized data entry,3,,TODO,No,
D-045,Restore cheaper model usage tips popup,2,UX,P2,S,1,Pop-up tips for cheaper model usage disappeared from coach page,Users need to manage AI costs,N/A,Cost transparency,2,,TODO,No,
D-046,Import grade_smooth streams + calculate GAP,3,Grade/GAP,P0,L,6,Grade Adjusted Pace makes hilly and flat runs directly comparable,GAP is the single most important normalization for training analysis,Strava shows GAP; Garmin shows it; Sauce adds it,GAP-based training load is genuinely novel for a coaching app,7,,TODO,Yes — streams,
D-047,Import Strava best_efforts for high-confidence VDOT,3,VDOT,P0,M,4,Verified PRs (pauses excluded) as VDOT input signals — fixes the VDOT 120.8 bug class,"Garbage in, garbage out — best_efforts are the cleanest performance data available",Runalyze uses race results for VDOT; V.O2 uses race entries,Multi-signal VDOT with confidence weighting is unique,8,D-039,TODO,Yes — activity detail,
D-048,Import segment efforts — PR tracking on specific segments,3,Segments,P1,L,6,"Verified, pause-free data with achievement rankings",Segment PRs show improvement on specific terrain — more actionable than general PRs,Strava segments is their crown jewel,AI coach references segment trends,5,,TODO,Yes — segment efforts,
D-049,GAP-based training load (TRIMP adjusted for grade),3,Training Load,P1,M,4,A hilly 6-miler should count for more stress than flat,Grade-adjusted load more accurately reflects physiological stress,Stryd does this via power; nobody does it via GAP,More accurate fitness/fatigue model,8,D-049,TODO,No,
D-050,Import temp streams + build personal heat performance curves,3,Performance,P1,M,4,Device-recorded temperature cross-referenced with weather API,Heat affects performance 10-20% — understanding YOUR heat sensitivity is huge,Klimat annotates weather; Stryd has air power; CORE measures core temp,Personal heat curve is unique,7,,TODO,Yes — streams,
D-051,Weather-adjusted training load (heat stress index),3,Training Load,P1,M,4,Weight TRIMP/TSS by heat stress — 90°F easy run = harder physiologically,Stops runners from thinking they're 'getting slower' in summer,Nobody does this at the training load level,Genuinely novel load adjustment,9,D-053,TODO,No,
D-052,Import cadence streams — stride length + form analysis,3,Biomechanics,P1,M,4,Per-second cadence → stride length = pace/cadence. Track cadence drift as fatigue indicator.,Cadence drift in last miles of long runs is a key fatigue signal,"Garmin running dynamics, Stryd, COROS",AI coach explains form changes contextually,6,,TODO,Yes — streams,
D-053,Running economy tracking — pace at given HR over time,3,Performance,P0,M,4,7:30/mi at 155bpm today vs 160bpm 3 months ago = real fitness improvement,Running economy (Efficiency Factor) is more useful than VDOT for day-to-day tracking,TrainingPeaks shows Pa:HR decoupling; Stryd shows running economy,Trend over time with contextual explanation is unique,8,,TODO,No,Also called Efficiency Factor
D-054,Fatigue resistance metric — last 25% vs first 75%,3,Performance,P1,M,3,"Track pace maintenance over run duration, especially in long runs",Fatigue resistance is the #1 predictor of marathon performance,Stryd durability metric; WKO5 Stamina,Tracked over time with coach commentary,7,,TODO,No,
D-055,Negative split tendency tracker,3,Performance,P1,S,2,Track positive/negative/even split patterns by workout type,Pacing strategy is the most fixable error in race execution,Metathon does basic split analysis,Coach integration: 'You tend to go out too fast on tempos',5,,TODO,No,
D-056,Time of day analysis — circadian performance profile,3,Analytics,P1,M,3,Build personal profile: morning vs evening performance by workout type,Knowing your best training time optimizes workout scheduling,Runalyze shows time-of-day distribution,Personalized scheduling recommendations,5,,TODO,No,Uses start_date_local
D-057,Training partner effect analysis,3,Analytics,P2,S,2,"athlete_count shows group vs solo — correlate with pace, RPE, completion",'Your average pace is 15s/mi faster on group runs' is powerful social insight,Nobody tracks this systematically,Unique social-performance correlation,6,,TODO,Yes — activity detail,
D-058,Route familiarity effect — detect repeated routes,3,Analytics,P2,M,4,"Cluster similar GPS routes, analyze performance on familiar vs new",Runners perform better on known routes (reduced mental load),Nobody does route-performance correlation,Novel insight,6,,TODO,Yes — latlng streams,
D-059,GPS route visualization with pace/HR color overlay,3,Visualization,P1,L,8,"Interactive map with pace/HR gradient, point-click detail, playback scrub",Route visualization is expected by every runner,"Strava, Garmin, WorkOutDoors all show route maps",Pace coloring + elevation profile on map,4,,TODO,Yes — latlng streams,
D-060,Segment discovery — find popular segments near your routes,3,Discovery,P2,L,6,Show nearby segments on map with your best efforts and improvement trends,Gamification through segment hunting increases engagement,"Strava Explore, Strava Local Legends",AI coach suggests goal segments,4,,TODO,Yes — segments/explore,
D-061,"Workout comparison tool — overlay pace, HR, environmental factors",3,Analytics,P1,L,6,Compare this tempo to last 5 tempos with weather/elevation context,Comparison with context prevents false conclusions about performance,Intervals.icu has activity comparison; TrainingPeaks has workout comparison,Automatic environmental normalization in comparison is unique,7,,TODO,No,
D-062,Device/watch tracking per activity,3,Analytics,P2,S,1,"Track which device recorded which activity, identify data quirks by device",Device-specific HR accuracy varies significantly,SportTracks tracks device,Data quality awareness,3,,TODO,Yes — activity detail,
D-063,Pace curve / Critical Speed model,3,Performance,P1,M,4,Best pace visualization with 42-day vs all-time overlay; Critical Speed calculation,CS is a better fitness marker than VDOT for many purposes,"Stryd Critical Power, WKO5 Power Duration Curve",Running-specific CS with AI interpretation,7,D-019,TODO,No,
D-064,Enhanced HR zone breakdown per activity,3,Analytics,P1,M,3,Compare to target zones for workout type; trend zone distribution over weeks,Zone compliance tells you if you're actually training at the right intensities,"Strava subscriber zones, Intervals.icu, TrainingPeaks",Target vs actual zone comparison,5,,TODO,No,
D-065,Training distribution analysis — shift recommendations,3,Analytics,P1,S,2,'Your Threshold distribution would benefit from more Z1 volume',80/20 principle: most runners train too hard on easy days,"Runalyze polarization analysis, Intervals.icu distribution",Actionable recommendation to shift distribution is unique,7,,TODO,No,
D-066,Kudos tracking & sync from Strava,3,Social,P1,L,6,"Track who gives you kudos, how often, and engagement patterns",Social validation drives app engagement and is genuinely fun data,Strava shows kudos but doesn't analyze patterns,Social intelligence nobody else offers,7,,TODO,Yes — kudos endpoint,Rate limit: 1 API call per activity
D-067,Kudos leaderboard + engagement trend analysis,3,Social,P1,M,4,"Rank supporters, identify what activities get most engagement",Social engagement data drives sharing behavior,Nobody analyzes kudos patterns,Unique social analytics,7,D-073,TODO,No,
D-068,'Ghost kudos' detector — friends who went quiet,3,Social,P2,M,3,Rolling window detection of supporters who stopped engaging,Fun social insight that creates conversation and re-engagement,Nobody does this,Delightful novelty feature,6,D-073,TODO,No,
D-069,Comments tracking from Strava,3,Social,P2,M,4,Import who commented and what — show highlights on workout detail,Social context enriches the workout review experience,Strava shows comments but doesn't aggregate,,4,,TODO,Yes — comments endpoint,
D-070,"Social engagement dashboard — charts, trends, leaderboard",3,Social,P1,L,6,"Kudos trend, engagement rate, top friends, best time to post",A completely unique analytics view — nobody does social analytics for runners,Nothing comparable exists,100% differentiation,8,"D-073,D-074",TODO,No,
D-071,Club activity feed analysis,3,Social,P2,M,4,"Show what club members are doing, trends, popular routes",Club engagement creates community and retention,Strava Clubs is basic feed,Analytical overlay on club data,5,,TODO,Yes — clubs endpoint,
D-072,Strava gear sync — import gear_id + GET /gear/{id},3,Shoes,P0,M,4,"Link every workout to specific shoes: name, brand, model, total distance",Shoe tracking is the foundation for all shoe intelligence features,"Strava, Garmin, Runalyze, SportTracks all track gear",Auto-sync from Strava,4,D-038,TODO,Yes — gear endpoint,
D-073,Shoe mileage dashboard with retirement alerts,3,Shoes,P0,M,4,"Per-shoe mileage by workout type, month, % toward configurable retirement threshold",Shoe retirement directly affects injury risk — worn shoes = higher impact forces,"Strava, Runalyze, ShoeCycle, Garmin",Visual mileage bar + rotation suggestions,5,D-080,TODO,No,
D-074,Shoe efficiency model — controlled comparison across shoes,3,Shoes,P0,L,8,"After adjusting for pace, HR, temp, elevation, fatigue, grade: which shoe produces best running economy?",No app currently isolates shoe performance from confounding variables,Stryd has basic shoe analytics; nobody controls for all variables,Flagship feature — THIS IS THE SHOE KILLER APP,10,"D-080,D-081,D-049,D-055",TODO,No,
D-075,Shoe rotation analysis + patterns,3,Shoes,P1,M,3,"Auto-detect which shoes for which workout types, visualize rotation",Shoe rotation extends shoe life and reduces injury risk,Nobody does rotation analysis,Unique visualization,6,D-080,TODO,No,
D-076,Shoe recommendation engine — suggest shoe for tomorrow,3,Shoes,P1,M,4,"Based on workout type, mileage, efficiency data, recent usage",'Wear the Pegasus tomorrow — save the Vaporfly for race day',Nobody does this,AI-powered daily shoe suggestion,8,"D-082,D-083",TODO,No,
D-077,Shoe break-in curve — performance vs mileage accumulation,3,Shoes,P2,M,3,Track sweet spot (many runners report 50-150mi best) and degradation,Data-driven shoe retirement instead of arbitrary mileage cutoffs,Nobody tracks break-in curves,Novel data visualization,7,"D-080,D-082",TODO,No,
D-078,Injury correlation by shoe,3,Shoes,P2,M,3,Cross-reference soreness reports with shoe used and mileage,Direct connection between equipment and injury risk,Nobody correlates shoes to injury,Preventive coaching insight,7,D-080,TODO,No,Requires soreness body map
D-079,Surface type inference (trail vs road) from GPS+elevation+pace,3,Shoes,P2,M,4,Combined with shoe data: performance by shoe × surface type,Trail miles degrade shoes differently; surface-shoe optimization,Komoot does surface detection for routing; nobody for training analysis,Novel,6,,TODO,Yes — latlng streams,
D-080,"Import full activity detail (calories, suffer_score, pr_count, photos)",3,Strava Integration,P2,M,3,Selectively import rich metadata from GET /activities/{id},Richer data enables richer analysis and more context for coaching,All serious integrations use activity detail endpoint,,3,,TODO,Yes — activity detail,
D-081,Import latlng streams (full GPS coordinates),3,Strava Integration,P2,M,3,"Foundation for route visualization, route familiarity, segment matching, surface inference",GPS data unlocks an entire class of features,Every map-based tool ingests GPS,,4,,TODO,Yes — streams,Storage: ~10K points per activity
D-082,Import moving streams (boolean per-second),3,Strava Integration,P2,S,1,Distinguish stopped time from slow pace; identify rest intervals in fartlek,Accurate moving time is essential for pace accuracy,"Golden Cheetah, Intervals.icu use moving flags",,3,,TODO,Yes — streams,
D-083,Historical pattern recognition engine,4,Pattern Engine,P0,L,12,"Analyze months/years of data: 'You always struggle Day 3 of high mileage weeks', 'You PR when CTL is 50-55 and TSB is +5 to +8'",Pattern detection is what makes AI coaching actually intelligent vs generic,WHOOP Journal does basic correlation; nobody does multi-factor pattern detection for running,THE core differentiator — an AI coach that actually KNOWS you,10,,TODO,No,Statistical pattern detection across all stored data
D-084,Predictive insights — forward-looking based on detected patterns,4,Pattern Engine,P0,L,10,"'Based on last 6 weeks, you'll PR if you race in next 10 days', 'Your current trajectory suggests 1:25 HM by April'",Predictions create accountability and excitement — and validate the coaching,Garmin race predictor is basic; COROS race predictor is basic; nobody predicts training trajectory,AI predictions backed by YOUR data patterns,10,D-094,TODO,No,
D-085,Auto-generated weekly insights (3-5 personalized cards),4,Insights,P1,L,6,"Trend alerts, 'what's different this month', surprising correlations",Proactive insights make the app feel alive vs passive logging,Garmin Morning Report is closest; Strava subscriber insights are shallow,Depth and personalization of insights is unique,8,D-094,TODO,No,
D-086,Coach memory timeline — what the AI has learned about you,4,Coach Memory,P1,M,4,"Visual timeline: 'Learned you struggle in heat (June 2025)', 'Noticed you PR after down weeks'",Makes AI coaching feel personal and cumulative vs stateless,Nobody visualizes AI learning about the user,Unique transparency into AI state,9,,TODO,No,
D-087,Automatic insights dashboard — dedicated page,4,Insights,P1,L,6,"Weekly insight generation, trend alerts, 3-month rolling comparison",A page you come back to every week for your 'training report card',Runalyze has some insight features,"AI-curated, not just charts",7,D-096,TODO,No,
D-088,Race day countdown & prep (2 weeks before A race),4,Race Prep,P1,L,8,"Daily tips, race checklist, weather forecast, pace band generator, nutrition reminders, course analysis, fitness prediction",Pre-race anxiety is real — structured countdown builds confidence,Garmin has basic race widget; nobody has a 2-week guided prep sequence,AI-powered race prep tailored to YOUR specific race and fitness,8,,TODO,No,
D-089,Running streak & consistency tracking,4,Gamification,P1,M,3,"Streaks, consistency %, perfect weeks — gentle gamification",Consistency is the #1 factor in running improvement,"SmashRun badges, Nike Run Club streaks",Tied to AI coaching: 'Great consistency this month',4,,TODO,No,
D-090,"Soreness body map — tap body parts, 1-5 scale, track patterns",4,Health,P1,L,6,"Schema exists, UI doesn't. Correlate with shoes, mileage, workout type.",Early soreness detection prevents injury — the #1 reason runners quit,WHOOP has pain tracking; Recover Athletics has prehab,Correlated with shoes + training load is unique,8,,TODO,No,
D-091,"Wellness trends dashboard — HRV, RHR, sleep, weight, stress",4,Health,P1,L,6,Visualization of health inputs over time from Apple Health / Intervals.icu,Understanding inputs is as important as outputs for long-term performance,"Athlytic, WHOOP, Oura all do this for recovery; nobody connects to training",Wellness trends CONNECTED to training outcomes is unique,7,,TODO,No,Intervals.icu import exists
D-092,Sentiment-aware coach — dynamic tone adaptation,4,AI Coach,P1,M,4,"If user seems frustrated/anxious, adjust tone. Remember emotional patterns.",Emotional intelligence separates good coaching from data dumps,No AI coaching app adapts to emotional state,Genuinely empathetic AI,8,,TODO,No,
D-093,Periodization view — Base→Build→Peak→Taper with overlays,4,Planning,P2,L,6,"Show training phases, where user is in cycle, what's coming next",Periodization is the fundamental structure of all training programs,"TrainingPeaks ATP view, Intervals.icu season view",AI explains WHY you're in this phase,6,,TODO,No,
D-094,Cross-training support — bike/swim/strength with equivalent stress,4,Cross-Training,P2,L,6,"Log non-run activities, calculate equivalent training stress",Hybrid athletes need unified load tracking across modalities,"TrainingPeaks, Intervals.icu handle multi-sport; nobody unifies strength+endurance well",Unified stress model is the biggest whitespace in the market,9,,TODO,No,Strava sends non-run activities (currently filtered out)
D-095,Running power estimates from pace+grade+bodyweight,4,Performance,P2,L,6,Stryd-like functionality without requiring a power meter,"Power normalizes for hills, wind, and terrain — more objective than pace",Stryd requires hardware; COROS/Garmin wrist power is noisy,Accessible running power without additional hardware,7,D-049,TODO,No,Requires grade_smooth streams and body weight
D-096,Ultra marathon support — 50K to 100M,4,Ultra,P2,L,8,"Time-based training, elevation as primary metric, aid station planning, power hiking",Ultra running is the fastest growing segment of running; completely underserved by tech,Vert.run focuses on trail/ultra; nobody does AI coaching for ultras,AI ultra coaching is a blue ocean,8,,TODO,No,
D-097,User preference tracking — persist to DB,4,Personalization,P2,M,3,"Learn preferred workout times, distance preferences, communication style","Personalization compounds — the more the AI knows, the better it coaches",Nobody persists user preferences for coaching context,,5,,TODO,No,Currently memory-only
D-098,Shareable race cards — IG Story/Post/Twitter sizes,5,Shareability,P1,L,8,"Beautiful cards with finish time, VDOT, course map, splits, weather, branding","Viral growth loop — users share, friends discover Dreamy",Strava generates share cards; nobody generates ANALYSIS share cards,"Share cards include AI insights, not just metrics",7,,TODO,No,
D-099,Weekly recap card — shareable weekly summary,5,Shareability,P1,M,4,"Miles, runs, key workout, fitness trend, VDOT change, branding",Weekly sharing creates habitual engagement,Strava has weekly summary; Athlytic has daily,AI-curated highlight,5,,TODO,No,
D-100,PR celebration cards with confetti + share button,5,Shareability,P1,M,4,"Confetti animation, old vs new PR comparison, improvement %",Celebrating wins drives retention and word-of-mouth,Strava celebrates PRs; nobody generates a share-ready PR card with context,PR card includes training journey narrative,6,,TODO,No,
D-101,"Milestone celebrations — lifetime miles, streaks, race count, VDOT",5,Gamification,P2,M,4,Achievement system for non-PR milestones,Long-term engagement through milestone recognition,"SmashRun badges, Nike Run Club achievements",Tied to coaching narrative,4,,TODO,No,
D-102,Public profile / race resume — getdreamy.run/@username,5,Public,P2,L,6,"Optional public page: race history, PRs, VDOT chart, shoe rotation",Public profiles create organic discovery and build running identity,Strava profiles are social; nobody has a 'race resume',Professional runner portfolio,6,,TODO,No,
D-103,Route export as GPX/TCX,5,Export,P2,M,3,Export routes with optional GAP overlay,Data portability builds trust; useful for sharing courses,"Strava, Garmin export routes",GAP overlay on exported route is unique,3,,TODO,Yes — routes endpoint,
D-104,Weekly email digest (or in-app digest card),5,Communication,P2,L,6,"Miles, key workouts, trends, next week preview — delivered weekly",Re-engagement channel for users who drift away from daily use,"TrainingPeaks weekly email, Strava weekly summary",AI-written personalized digest,6,,TODO,No,
D-105,"Apple Health integration — sleep, HRV, RHR, weight",5,Integration,P3,L,8,Import health data for wellness trends and post-run analysis,Apple Health is the #1 health data aggregator on iOS,"Athlytic, HRV4Training, many apps read Apple Health",Enriches coaching context,5,,TODO,No,
D-106,Garmin Connect integration (alternative to Strava),5,Integration,P3,L,12,"Direct Garmin import: activities, HR, sleep, HRV, Body Battery, stress",Garmin has 30%+ of the GPS watch market — not everyone uses Strava,Most analytics tools connect to Garmin,Richer health data than Strava,5,,TODO,No,Garmin API is more complex
D-107,"Push notifications — workout reminders, check-ins, PRs, race countdown",5,Notifications,P2,L,8,Service worker push for proactive coaching moments,Notifications drive habit formation and re-engagement,Nearly all mobile apps have push,Coach-driven notifications feel personal,4,,TODO,No,
D-108,Full data export — CSV/JSON of all user data,5,Export,P2,M,3,"All workouts, race results, plans, conversations, assessments, shoes",Data ownership builds trust; GDPR compliance,"Strava, Garmin offer bulk export",Users own their data,4,,TODO,No,
D-109,API for third-party apps,5,Developer,P3,L,8,REST API for accessing Dreamy data externally,Creates developer ecosystem — other tools build on Dreamy,"Strava, Intervals.icu, TrainingPeaks have APIs",Platform play,6,,TODO,No,
